Maharashtra,5863880,10989,164743,5597304,16379,101833,661,
Andhra Pradesh,1779773,8766,103995,1664082,12292,11696,67,
Karnataka,2728248,10959,215546,2480411,20246,32291,192,
Goa,160740,456,5790,152073,547,2877,18,
Tamil Nadu,2292025,17321,204258,2059597,31253,28170,405,
Kerala,2674166,16204,139481,2524248,20237,10437,156,
Chhattisgarh,983916,954,18113,952532,2298,13271,14,
Telangana,596813,1813,24301,569086,1801,3426,17,
Odisha,831129,6019,63333,764673,8032,3123,43,
Madhya Pradesh,786755,453,7071,771243,1329,8441,36,
Gujarat,818351,644,13683,794703,1675,9965,10,
Rajasthan,948024,520,11832,927443,2282,8749,30,
Haryana,764094,528,7079,748186,940,8829,40,
Uttar Pradesh,1700476,689,12959,1666001,1706,21516,91,
Delhi,1430128,337,4511,1400913,752,24704,36,
Assam,446445,3751,49846,392806,4355,3793,55,
Sikkim,17656,231,3869,13511,379,276,1,
Bihar,715179,589,4516,701234,0,9429,3971,
West Bengal,1442830,5384,14702,1411573,10512,16555,95,
Andaman And Nicobar Islands,7168,14,91,6952,17,125,0,
Puducherry,110748,642,6853,102247,932,1648,4,
Arunachal Pradesh,30247,247,3271,26848,279,128,2,
Nagaland,23237,186,3893,18909,966,435,3,
Dadra And Nagar Haveli,10437,10,137,10296,34,4,0,
Jharkhand,342481,302,4783,332622,615,5076,3,
Tripura,57452,658,6058,50803,363,591,14,
Ladakh,19385,55,925,18265,71,195,0,
Jammu And Kashmir,303749,1098,19852,279779,3046,4118,17,
Himachal Pradesh,196905,554,6682,186880,840,3343,15,
Punjab,583474,1393,17344,550837,2521,15293,74,
Uttarakhand,335478,513,9258,319371,3088,6849,52,
Manipur,57351,775,9307,47129,602,915,7,
Chandigarh,60862,84,649,59432,118,781,2,
Meghalaya,39983,448,4849,34440,507,694,16,
Mizoram,14534,338,3585,10891,122,58,1,
Lakshadweep,9002,128,787,8173,231,42,0,
